,quality,bake temp,chill time,calories,density,bake time,weight,butter type,chocolate,raisins,oats,nuts,peanut butter
36,9,500,23.0,83.0,0.99019,12.0,13.2,1,1,0,0,0,0
37,8,440,34.0,145.0,0.9945,9.7,10.6,1,0,1,0,1,0
38,5,570,15.0,26.0,0.9944799999999999,9.5,12.0,0,0,1,0,1,0
39,8,280,22.0,84.0,0.9940000000000001,10.8,13.8,1,1,0,1,0,0
40,5,810,17.0,108.0,0.9962,9.5,15.6,0,0,1,0,1,0
41,5,880,16.0,39.0,0.9961,9.2,14.0,0,1,0,0,1,0
42,9,510,29.0,149.0,0.99792,9.0,14.0,1,1,0,1,0,0
43,8,530,51.0,190.0,0.9978,9.7,13.0,1,1,0,0,0,0
44,5,800,22.0,39.0,0.9970100000000001,9.7,13.6,0,1,0,1,1,0
46,8,390,31.0,119.0,0.99815,9.3,15.2,1,0,1,0,0,0
47,7,390,8.0,143.0,0.9942,9.8,15.8,1,1,0,1,0,0
48,6,450,11.0,119.0,0.99556,9.4,17.2,1,0,1,0,0,0
49,5,650,9.0,18.0,0.9972,9.2,13.0,0,1,0,1,1,0
50,7,650,3.0,16.0,0.9962,10.5,16.0,0,0,1,0,1,0
51,8,1190,56.0,178.0,0.9957799999999999,10.2,14.3,1,1,0,1,0,0
52,7,470,20.0,77.0,0.9900100000000001,11.4,10.4,1,1,0,0,0,0
53,7,490,12.0,117.0,0.99134,11.5,11.8,1,1,0,0,1,0
54,8,320,17.0,50.0,0.9932,12.0,12.0,1,1,0,1,0,0
55,7,530,29.0,106.0,0.9945799999999999,9.0,11.6,1,0,1,0,0,0
57,8,350,26.0,102.0,0.992,10.6,10.6,1,0,1,0,0,0
58,5,730,5.0,27.0,1.0001,9.5,21.6,0,0,1,0,1,0
59,7,460,0.0,194.0,0.9955799999999999,9.4,13.2,1,1,0,0,0,0
60,8,470,26.0,101.0,0.9959600000000001,9.9,12.8,1,1,0,1,0,0
61,9,320,60.0,181.0,0.9983,9.3,14.0,1,0,1,0,0,0
62,6,1020,17.0,36.0,0.9944,11.2,15.6,0,0,1,0,1,0
63,8,290,41.0,131.0,0.99326,10.8,13.8,1,1,0,0,0,0
64,7,920,13.0,52.0,0.99834,10.0,20.2,0,1,0,0,1,0
65,8,350,26.0,143.0,0.9965,9.8,15.2,1,1,0,0,0,0
66,7,560,35.0,167.0,0.9962799999999999,9.4,13.4,1,0,1,0,0,0
67,9,290,34.0,131.0,0.9953,12.0,13.4,1,1,0,0,0,0
68,7,450,41.0,169.0,0.9959,10.6,16.0,1,1,0,0,0,0
69,7,340,38.0,152.0,0.9977,9.4,11.8,1,1,0,0,0,0
71,7,510,56.0,197.0,1.0004,9.8,13.0,1,1,0,0,0,0
72,10,570,45.0,155.0,0.9980700000000001,8.8,14.6,1,1,0,1,0,0
73,7,470,66.0,178.0,0.9976,8.7,14.4,1,0,1,0,0,0
74,7,210,20.0,80.0,0.9907600000000001,12.0,12.3,1,1,0,0,0,0
75,10,440,29.0,128.0,0.9937,10.9,14.2,1,1,0,0,0,0
76,8,450,49.0,154.0,0.992,10.4,14.8,1,1,0,1,0,0
79,8,440,79.5,182.0,0.9974200000000001,10.2,13.6,1,1,0,1,0,0
80,8,360,35.0,91.0,0.9919,12.4,13.4,1,0,1,0,0,0
81,7,480,21.0,98.0,0.9929,9.2,11.6,1,1,0,1,0,0
82,7,480,17.0,204.0,0.9934,10.0,13.2,1,0,1,1,0,0
83,8,380,33.0,170.0,0.9946299999999999,10.2,14.2,1,0,1,0,0,0
84,8,360,43.0,131.0,0.9918600000000001,11.3,12.6,1,1,0,0,1,0
85,8,310,33.0,97.0,0.99126,10.9,11.2,1,0,1,0,0,0
87,6,500,11.5,88.0,0.9946,9.5,16.0,1,0,1,0,0,0
88,8,430,28.0,93.0,0.9897,12.3,11.4,1,0,1,0,0,0
89,7,300,9.0,131.0,0.9904,10.8,12.8,1,1,0,0,1,0
90,9,350,24.0,100.0,0.9906200000000001,13.2,14.2,1,1,0,0,1,0
91,8,470,42.0,130.0,0.9928299999999999,11.0,13.6,1,1,0,1,0,0
92,8,380,52.0,155.0,0.995,9.4,12.6,1,1,0,0,0,0
93,8,480,4.0,119.0,0.9908399999999999,12.1,15.4,1,0,1,0,0,0
94,6,840,4.0,18.0,0.99682,9.9,16.8,0,0,1,0,1,0
95,7,520,41.0,150.0,0.99534,10.3,14.8,1,1,0,0,0,0
96,7,410,71.0,223.0,0.9959,8.9,13.6,1,0,1,0,0,0
97,9,350,29.0,142.0,0.9942,10.1,12.6,1,1,0,0,0,0
98,9,340,34.0,132.0,0.9944,9.6,14.0,1,1,0,1,0,0
99,7,540,11.0,107.0,0.99398,8.5,13.0,1,0,1,0,0,0
100,7,490,24.0,97.0,0.993,10.9,16.0,1,1,0,0,0,0
101,8,360,41.0,150.0,0.9916799999999999,12.2,14.0,1,0,1,0,0,0
102,7,340,8.0,84.0,0.9942,11.5,14.6,1,1,0,0,0,0
103,9,510,29.0,149.0,0.99792,9.0,14.0,1,1,0,1,0,0
104,8,440,15.0,68.0,0.9932,9.4,13.6,1,0,1,0,0,0
105,8,480,27.0,133.0,0.9946,10.6,15.8,1,1,0,1,0,0
106,7,210,52.0,148.0,0.9903799999999999,11.5,16.8,1,0,1,0,0,0
107,7,430,45.0,155.0,0.9923799999999999,10.2,12.6,1,1,0,1,0,0
108,9,350,42.0,126.0,0.9904799999999999,12.6,13.6,1,1,0,0,0,0
109,9,360,38.0,124.0,0.9898,12.4,12.2,1,0,1,0,0,0
110,6,770,28.0,54.0,0.9956,10.4,14.2,0,1,0,0,1,0
111,7,470,61.0,189.0,0.9960399999999999,9.2,13.2,1,1,0,0,0,0
112,5,730,12.0,22.0,0.9969,9.3,14.2,0,1,0,1,1,0
113,7,650,29.0,119.0,0.9974,9.4,15.0,1,0,1,0,0,0
114,9,320,30.0,114.0,0.9915799999999999,12.8,14.0,1,1,0,0,0,0
115,6,740,16.0,65.0,0.9984200000000001,9.233333333,13.8,0,1,0,0,0,1
116,8,300,28.0,117.0,0.9918,10.3,11.2,1,1,0,1,0,0
117,9,350,33.0,115.0,0.9901,12.89333333,13.4,1,1,0,0,1,0
118,8,490,38.0,209.0,0.9981,9.3,12.6,1,1,0,0,1,0
119,8,380,10.0,164.0,0.9912,12.0,13.6,1,0,1,0,0,0
120,8,580,14.0,146.0,0.9952,9.1,13.8,1,1,0,1,0,0
121,10,290,29.0,75.0,0.9892,12.8,12.4,1,1,0,1,1,0
122,7,360,38.0,155.0,0.9962200000000001,9.4,12.4,1,0,1,0,0,0
123,9,380,40.0,118.0,0.99074,11.8,12.8,1,1,0,0,0,0
124,8,1190,33.0,104.0,0.9921,10.2,12.0,1,1,0,0,0,0
125,7,460,13.0,119.0,1.0004,9.5,19.6,1,0,1,0,0,0
126,8,460,29.0,130.0,0.9942,9.8,17.4,1,1,0,1,0,0
127,7,450,68.0,183.0,0.9992200000000001,9.4,14.4,1,1,0,0,0,0
128,8,760,47.0,130.0,0.99185,10.3,11.6,1,1,0,0,0,0
129,7,460,6.0,194.0,0.9971399999999999,9.4,15.2,1,1,0,0,1,0
130,8,620,26.0,87.0,0.98974,12.8,16.4,1,0,1,0,0,0
131,7,390,46.0,165.0,0.9982,8.7,14.6,1,0,1,0,0,0
132,9,440,20.0,90.0,0.9959,10.9,14.2,1,1,0,1,0,0
133,5,860,15.0,48.0,0.9950200000000001,10.0,14.8,0,0,0,1,1,0
134,9,450,29.0,100.0,0.99135,11.3,15.0,1,1,0,0,0,0
135,6,850,12.0,69.0,0.9963299999999999,11.0,14.0,0,0,1,0,1,0
136,7,430,16.0,104.0,0.99216,10.8,14.0,1,1,0,1,0,0
137,8,410,49.0,115.0,0.9926799999999999,11.0,13.0,1,1,0,0,0,0
138,8,480,24.0,113.0,0.9982,9.8,13.0,1,1,0,0,1,0
140,8,410,20.0,119.0,0.9929600000000001,11.2,13.8,1,1,0,0,0,0
141,7,570,47.0,223.0,0.99654,9.1,12.8,1,1,0,0,0,0
142,8,390,21.0,158.0,0.9983,9.3,17.2,1,0,1,0,0,0
143,9,290,35.0,138.0,0.9911399999999999,11.5,13.0,1,1,0,1,0,0
144,7,160,6.0,55.0,0.9887600000000001,13.4,13.8,1,1,0,0,0,0
145,7,450,75.0,162.0,0.99482,9.3,13.0,1,1,0,1,0,0
146,5,870,21.0,68.0,0.9955,9.2,15.2,0,0,0,1,1,0
147,9,620,19.0,171.0,0.99808,9.0,13.6,1,1,0,1,0,0
148,7,330,35.0,165.0,0.9974,9.0,13.0,1,0,1,0,0,0
149,5,740,12.0,96.0,0.9954,9.2,11.2,0,0,1,0,0,0
150,7,470,54.0,171.0,0.9987,9.1,15.8,1,0,1,0,0,0
151,6,740,9.0,46.0,0.9962,9.4,14.6,0,0,1,0,0,0
152,8,610,23.0,150.0,0.9954,9.6,13.2,1,0,1,0,0,0
153,8,260,31.0,68.0,0.9898,11.65,11.0,1,1,0,1,0,0
154,9,440,48.0,118.0,0.99726,10.0,14.2,1,1,0,0,0,0
155,9,390,25.0,78.0,0.9926,10.2,13.2,1,1,0,0,0,0
156,6,460,6.0,114.0,0.9955,8.6,13.0,1,1,0,0,0,0
157,8,480,36.0,110.0,0.9943799999999999,9.5,10.8,1,1,0,1,0,0
158,6,400,13.0,60.0,0.9956,9.5,16.0,1,0,1,0,1,0
159,8,510,14.0,92.0,0.99224,11.9,13.4,1,1,0,0,0,0
160,7,830,27.0,182.0,0.9964,9.2,14.4,1,1,0,0,1,0
161,9,330,20.0,72.0,0.9922,10.5,15.8,1,1,0,1,0,0
162,9,410,35.0,125.0,0.9925,11.4,17.2,1,1,0,0,0,0
163,6,970,14.0,38.0,0.99675,9.0,14.4,0,1,0,1,1,0
164,7,420,21.0,177.0,0.99166,11.4,14.0,1,0,1,0,0,0
165,7,420,0.0,138.0,0.99382,9.7,11.6,1,0,1,0,0,0
166,7,370,47.0,156.0,0.9981,8.7,14.4,1,1,0,0,0,0
167,8,390,54.0,141.0,0.9956,9.4,14.0,1,1,0,1,0,0
168,9,340,33.0,104.0,0.9953,9.3,14.2,1,1,0,1,0,0
169,6,960,22.0,177.0,0.9983,9.1,15.2,1,0,1,0,1,0
170,8,430,19.0,113.0,0.9933799999999999,10.1,14.6,1,1,0,0,0,0
171,7,480,10.0,67.0,0.992,11.4,12.8,1,1,0,0,1,0
172,7,740,13.0,25.0,0.9950899999999999,12.4,19.2,0,0,1,0,0,0
174,8,470,54.0,201.0,0.99523,9.5,12.4,1,1,0,0,0,0
175,7,520,24.0,113.0,0.9957600000000001,9.4,13.4,1,1,0,0,1,0
176,9,450,20.0,73.0,0.9925,10.8,14.4,1,1,0,1,0,0
177,8,490,38.0,157.0,0.9963,8.9,14.8,1,1,0,0,0,0
178,5,790,12.0,49.0,0.9968,10.0,15.2,0,1,0,0,1,0
179,9,380,29.0,130.0,0.9949600000000001,10.5,13.2,1,1,0,0,0,0
180,7,490,18.0,134.0,0.9937799999999999,10.0,11.2,1,1,0,0,0,0
181,9,330,38.0,94.0,0.99075,11.8,14.4,1,1,0,0,0,0
182,5,760,34.0,85.0,0.9966799999999999,9.2,16.0,0,1,0,0,0,1
183,7,440,33.0,147.0,0.9944,9.7,10.4,1,1,0,1,1,0
184,8,390,31.0,128.0,0.9929600000000001,10.4,12.6,1,1,0,0,0,0
185,7,470,13.0,134.0,0.99616,10.0,16.0,1,1,0,0,0,0
186,7,570,19.0,37.0,0.99498,11.1,18.6,0,0,1,0,0,0
187,9,400,24.0,81.0,0.9903,12.6,12.8,1,0,1,0,0,0
188,7,570,17.0,103.0,0.9957,9.6,14.0,1,1,0,1,0,0
189,7,390,6.0,62.0,0.9934,10.4,13.4,1,1,0,1,1,0
190,8,460,57.0,166.0,0.9943,11.2,14.4,1,1,0,1,0,0
191,8,320,30.0,142.0,0.9954200000000001,9.5,11.8,1,1,0,0,0,0
192,9,470,40.0,122.0,0.99126,10.9,13.6,1,1,0,0,0,0
193,7,540,25.0,117.0,0.9943,9.3,12.8,1,0,1,0,0,0
194,8,330,48.0,185.0,0.99472,10.6,14.6,1,0,1,0,0,0
195,8,380,59.0,186.0,0.9969,9.5,15.4,1,1,0,0,0,0
196,8,470,52.0,177.0,0.9962,8.9,14.8,1,1,0,0,0,0
197,8,290,21.0,162.0,0.99497,10.6,18.0,1,1,0,0,0,0
198,5,1040,28.0,90.0,0.99784,9.1,15.2,0,1,0,0,1,0
199,5,770,7.0,28.0,0.9956799999999999,10.0,14.4,0,0,1,0,1,0
201,8,440,27.0,149.0,0.998,9.2,14.0,1,1,0,1,0,0
202,8,270,38.0,112.0,0.9908600000000001,12.4,13.8,1,1,0,0,0,0
203,8,410,40.0,141.0,0.9941,9.5,13.0,1,1,0,1,0,0
204,9,480,32.0,111.0,0.99455,11.0,13.4,1,1,0,0,0,0
205,9,120,36.0,100.0,0.99064,11.7,13.4,1,1,0,0,0,0
206,9,180,15.0,37.0,0.9900399999999999,11.9,14.2,1,1,0,1,0,0
208,9,580,53.0,150.0,0.9936,9.9,14.8,1,1,0,0,0,0
209,10,380,37.0,97.0,0.99026,12.6,13.0,1,0,1,0,0,0
210,9,350,29.0,142.0,0.9942,10.1,12.6,1,1,0,0,0,0
211,8,480,50.0,228.0,1.0001,9.2,16.6,1,1,0,0,0,0
212,8,520,34.0,134.0,0.9924,9.8,12.6,1,1,0,0,0,0
213,9,410,82.0,187.0,0.9932,11.2,14.4,1,1,0,1,0,0
214,6,580,5.0,10.0,0.9977,10.4,18.2,0,1,0,1,1,0
215,8,310,48.0,134.0,0.9917,11.5,12.6,1,1,0,0,0,0
216,7,370,21.0,74.0,0.9918,11.0,14.4,1,1,0,0,0,0
217,7,580,44.0,166.0,0.9961,9.0,12.6,1,1,0,0,0,0
218,6,630,9.0,28.0,0.9981,10.8,19.6,0,1,0,0,1,0
219,7,330,28.0,124.0,0.99684,9.5,12.2,1,1,0,1,0,0
220,4,860,5.0,12.0,0.9958,11.2,15.0,0,1,0,1,0,1
221,9,360,40.0,117.0,0.9934,9.5,13.8,1,1,0,1,0,0
222,4,600,4.0,11.0,0.99592,10.9,13.6,0,0,1,1,0,0
223,7,550,45.0,151.0,0.99626,9.2,14.4,1,1,0,0,1,0
224,8,360,27.0,98.0,0.99521,10.2,12.2,1,0,1,0,0,0
225,8,390,15.0,68.0,0.9916299999999999,11.1,13.2,1,1,0,0,0,0
226,5,940,38.0,106.0,0.9982,9.1,18.2,0,1,0,0,1,0
227,6,620,8.0,22.0,0.9974,10.9,16.4,0,1,0,0,0,0
228,5,950,5.0,14.0,0.99854,9.6,16.2,0,1,0,0,0,1
229,8,390,32.0,120.0,0.9962,10.1,13.0,1,1,0,0,0,0
230,8,450,50.0,208.0,1.00051,9.2,16.0,1,1,0,0,0,0
231,5,790,5.0,10.0,0.9967,9.8,15.2,0,0,1,1,0,0
232,7,540,40.0,158.0,0.9937799999999999,10.3,12.6,1,1,0,0,0,0
233,7,840,59.0,222.0,0.9993,9.0,13.0,1,1,0,0,1,0
234,7,740,25.0,168.0,0.9937,9.3,15.2,1,1,0,1,1,0
236,8,360,22.0,91.0,0.9927799999999999,9.8,10.6,1,1,0,0,0,0
237,8,430,46.0,238.0,0.9986,8.7,14.6,1,1,0,0,0,0
238,7,830,50.0,171.0,0.9965,9.0,13.0,1,1,0,0,0,0
239,8,290,21.0,63.0,0.9907600000000001,12.5,14.4,1,1,0,0,0,0
240,7,660,36.0,161.0,0.9991,8.8,12.6,1,0,1,0,0,0
243,8,390,30.0,104.0,0.98998,12.4,12.0,1,1,0,1,0,0
244,6,920,14.0,44.0,0.998,10.0,19.0,0,1,0,0,1,0
245,6,710,16.0,24.0,0.9937600000000001,11.1,11.8,0,1,0,1,1,0
246,8,730,56.0,173.0,0.9984,8.7,13.6,1,1,0,0,0,0
247,7,440,17.0,63.0,0.9937,9.2,14.0,1,0,1,0,0,0
248,8,310,24.0,116.0,0.99241,11.3,10.0,1,0,1,0,0,0
249,8,190,4.0,28.0,0.98931,12.0,14.2,1,1,0,0,0,0
250,7,500,29.0,124.0,0.9968,10.4,15.0,1,1,0,0,0,0
251,6,970,33.0,85.0,0.9962,11.4,14.0,0,0,1,0,0,0
252,8,280,22.0,97.0,0.9931399999999999,11.7,13.6,1,0,1,0,0,0
253,5,880,27.0,94.0,0.99915,9.4,15.0,0,1,0,1,1,0
254,8,330,27.0,135.0,0.9906,12.0,13.6,1,1,0,0,1,0
255,9,510,29.0,149.0,0.99792,9.0,14.0,1,1,0,1,0,0
256,8,400,54.0,159.0,0.9962200000000001,9.8,13.2,1,1,0,0,1,0
257,10,390,49.0,130.0,0.9952,11.0,12.4,1,1,0,0,0,0
258,9,500,17.0,114.0,0.9948,10.7,15.8,1,1,0,1,0,0
259,5,1060,8.0,32.0,0.9986,9.6,21.4,0,1,0,0,1,0
261,6,640,12.0,27.0,0.9929,12.8,13.0,0,0,1,0,1,0
262,8,270,14.0,79.0,0.9906299999999999,12.4,13.2,1,0,1,0,0,0
263,9,500,25.0,135.0,0.9984,8.7,14.8,1,1,0,1,0,0
264,5,540,6.0,17.0,0.9976,10.0,20.4,0,1,0,1,1,0
265,6,710,16.0,24.0,0.9937600000000001,11.1,11.8,0,1,0,1,1,0
266,7,360,7.0,89.0,0.99111,11.0,11.4,1,1,0,1,0,0
267,7,390,24.0,147.0,0.9935,10.0,17.0,1,1,0,1,0,0
268,7,500,41.0,178.0,0.9988,9.7,14.6,1,1,0,0,0,0
269,7,400,31.0,111.0,0.99174,11.1,14.2,1,1,0,0,0,0
270,9,420,19.0,120.0,0.9895200000000001,12.7,12.0,1,0,1,0,0,0
271,7,940,10.0,45.0,0.99864,9.7,19.6,0,0,1,0,1,0
272,8,530,47.0,150.0,0.9948,9.6,15.8,1,1,0,1,0,0
274,9,340,25.0,133.0,0.9906,12.0,12.2,1,0,1,0,0,0
275,5,1040,12.0,47.0,0.9964,9.5,15.6,0,0,1,0,1,0
276,8,270,36.0,121.0,0.992,10.7,16.4,1,1,0,0,0,0
277,9,340,49.0,121.0,0.98882,13.2,13.8,1,1,0,0,0,0
278,6,580,25.0,133.0,0.99271,10.2,13.6,1,1,0,1,1,0
279,8,300,31.0,103.0,0.98892,12.9,11.2,1,1,0,1,0,0
280,8,500,38.0,174.0,0.9983,9.0,14.6,1,1,0,0,0,0
281,8,430,45.0,114.0,0.992,11.2,13.0,1,1,0,1,0,0
282,7,280,32.0,138.0,0.9914,11.7,12.2,1,1,0,0,0,0
283,7,540,6.0,97.0,0.99424,9.3,12.4,1,0,1,0,0,0
284,6,840,18.0,49.0,0.9994,11.1,16.2,0,0,0,1,1,0
285,9,310,41.0,167.0,0.9948,11.3,15.4,1,1,0,0,1,0
286,10,560,49.0,159.0,0.9944,8.8,13.8,1,1,0,0,0,0
287,7,510,61.0,197.0,0.9932,9.0,12.0,1,1,0,0,1,0
288,9,350,39.0,84.0,0.9909600000000001,12.7,13.2,1,1,0,0,1,0
290,7,510,18.0,87.0,0.9928,9.6,12.2,1,1,0,0,0,0
291,8,550,17.0,135.0,0.9925,12.2,12.8,1,0,1,0,0,0
292,6,970,14.0,38.0,0.99675,9.0,14.4,0,1,0,1,1,0
293,6,480,26.0,60.0,0.9908399999999999,14.0,10.0,0,0,1,0,0,0
294,8,360,23.0,92.0,0.99136,11.2,13.0,1,0,1,0,0,0
295,9,330,28.0,124.0,0.9904,12.7,12.8,1,1,0,0,1,0
296,7,380,30.0,133.0,0.9954,9.8,13.0,1,1,0,0,0,0
297,9,370,12.0,119.0,0.9919,10.4,12.8,1,0,1,0,0,0
298,7,730,9.0,18.0,0.9968,9.5,15.6,0,0,1,0,1,0
299,8,560,15.0,29.0,0.99472,11.3,14.4,0,0,1,0,0,0
300,8,530,44.0,95.0,0.9967600000000001,9.8,13.4,1,1,0,1,0,0
301,8,520,45.0,128.0,0.9938799999999999,10.0,13.2,1,1,0,1,0,0
303,8,150,47.0,124.0,0.9927799999999999,11.0,15.6,1,1,0,1,0,0
304,6,430,18.0,104.0,0.9952,10.7,14.6,1,1,0,0,1,0
305,5,740,4.0,25.0,0.99534,9.6,13.6,0,1,0,0,0,1
306,7,660,29.0,56.0,0.99577,12.1,21.4,0,0,1,0,1,0
307,8,700,5.0,16.0,0.9972,11.0,21.4,0,0,1,0,0,0
308,9,420,35.0,101.0,0.99044,11.4,11.6,1,1,0,0,0,0
309,9,560,39.0,113.0,0.99393,10.2,15.0,1,1,0,0,0,0
310,7,650,5.0,10.0,0.99419,11.2,15.8,0,0,1,0,0,0
311,8,530,20.0,103.0,0.9925,12.2,10.4,1,0,1,0,0,0
312,6,920,10.0,41.0,0.9974,9.8,15.6,0,0,0,1,1,0
313,7,870,27.0,177.0,0.9943799999999999,9.8,15.2,1,0,1,0,0,0
315,6,800,26.0,86.0,0.9987,9.5,18.0,0,1,0,0,1,0
316,9,260,26.0,189.0,0.991,12.1,15.6,1,1,0,0,0,0
317,8,420,44.0,189.0,0.9930399999999999,10.3,12.6,1,1,0,1,0,0
318,9,440,45.0,163.0,1.0003,8.6,16.0,1,1,0,0,0,0
319,8,550,74.0,134.0,0.99534,10.2,12.2,1,1,0,0,0,0
320,9,360,42.0,107.0,0.991,10.8,12.2,1,1,0,0,0,0
321,6,820,6.0,15.0,0.9988,9.2,22.6,0,0,1,0,0,0
322,7,360,69.0,168.0,0.9921200000000001,10.46666667,9.8,1,0,1,0,0,0
323,8,480,10.0,147.0,0.9974,9.5,13.8,1,1,0,0,1,0
324,5,1000,18.0,95.0,0.9966,9.4,15.6,0,1,0,0,1,0
325,7,420,18.0,167.0,0.99366,10.6,16.4,1,0,1,0,1,0
326,5,800,31.0,131.0,0.9962200000000001,9.9,15.6,0,1,0,1,1,0
328,7,400,25.0,184.0,0.99216,10.7,13.0,1,1,0,0,0,0
329,8,480,38.0,168.0,0.9945,10.4,14.0,1,1,0,0,0,0
330,7,300,15.0,118.0,0.9954,9.6,16.4,1,1,0,1,1,0
331,6,860,23.0,81.0,1.0002,11.6,17.4,0,1,0,1,1,0
332,8,310,53.0,140.0,0.99321,11.7,10.6,1,0,1,0,0,0
333,7,540,7.0,15.0,0.9945799999999999,11.9,15.8,0,1,0,0,0,0
334,6,280,34.0,95.0,0.99272,10.0,17.0,1,1,0,1,0,0
335,8,520,22.0,126.0,0.9988799999999999,9.2,13.0,1,1,0,0,0,0
336,6,670,12.0,27.0,0.9981,10.1,23.0,0,0,1,0,0,0
337,7,290,14.0,111.0,0.9958,10.6,18.8,1,0,1,0,0,0
338,7,560,12.0,105.0,0.9972,9.2,14.2,1,0,1,0,0,0
339,7,700,45.0,185.0,0.9966,9.4,14.0,1,1,0,0,0,0
340,8,370,37.0,161.0,0.9954,9.7,12.8,1,1,0,0,0,0
341,8,510,31.0,95.0,0.99036,11.3,12.4,1,1,0,0,0,0
342,10,420,34.0,130.0,0.9925,10.7,14.0,1,1,0,0,0,0
343,8,260,21.0,77.0,0.9907,11.9,11.4,1,0,1,0,0,0
344,5,730,11.0,54.0,0.9990000000000001,9.9,16.8,0,0,0,0,0,1
345,5,830,35.0,72.0,0.997,9.4,14.4,0,1,0,0,1,0
346,7,450,22.0,61.0,0.992,10.4,12.2,1,1,0,0,0,0
347,5,700,5.0,20.0,0.9966,9.9,18.6,0,0,0,1,1,0
348,8,410,26.0,124.0,0.9942799999999999,9.3,13.8,1,0,1,0,0,0
349,7,310,38.0,95.0,0.99239,10.3,17.2,1,1,0,0,0,0
350,5,1020,11.0,32.0,0.9960399999999999,10.0,15.4,0,0,0,0,0,1
351,8,530,51.0,202.0,0.9955,9.6,12.6,1,0,1,0,0,0
352,7,510,30.0,173.0,0.9984,9.7,15.8,1,0,1,0,1,0
353,8,180,41.0,103.0,0.9912200000000001,12.2,13.0,1,0,1,0,0,0
354,9,420,31.0,104.0,0.9911,11.3,14.6,1,1,0,0,0,0
355,8,360,37.0,127.0,0.9937299999999999,9.8,12.0,1,1,0,1,0,0
356,8,390,47.0,142.0,0.99705,9.7,12.6,1,1,0,0,0,0
357,7,350,13.0,102.0,0.9918,11.0,15.0,1,1,0,1,0,0
359,8,570,33.0,135.0,0.993,9.6,14.8,1,1,0,1,0,0
360,8,160,31.0,101.0,0.9918600000000001,11.0,15.6,1,1,0,0,0,0
361,8,380,13.0,95.0,0.98898,13.1,12.2,1,1,0,0,0,0
362,7,390,46.0,165.0,0.9982,8.7,14.6,1,0,1,0,0,0
363,5,780,15.0,60.0,0.9963799999999999,9.8,14.6,0,0,1,0,1,0
364,8,410,30.0,95.0,0.9907799999999999,11.1,12.0,1,1,0,0,0,0
365,8,380,28.0,137.0,0.9952,10.4,13.2,1,1,0,0,0,0
366,8,480,54.0,136.0,0.99556,10.7,13.6,1,1,0,0,0,0
367,7,540,28.0,174.0,0.99898,9.7,15.0,1,1,0,0,1,0
369,7,510,40.0,167.0,0.99756,9.7,14.4,1,0,1,0,0,0
370,7,520,51.0,188.0,0.99944,9.3,15.0,1,1,0,0,0,0
371,5,800,29.0,58.0,0.9974,10.3,15.6,0,1,0,0,1,0
372,7,470,41.0,151.0,0.9960399999999999,9.2,12.8,1,0,1,0,0,0
