,sugar to flour ratio,sugar index,bake temp,chill time,calories,pH,grams baking soda,bake time,quality,butter type,chocolate,raisins,oats,nuts,peanut butter
81,0.49,1.1,480,21.0,98.0,8.19,0.48,9.2,7,1,1,0,1,0,0
82,0.19,0.8,480,17.0,204.0,8.34,0.56,10.0,7,1,0,1,1,0,0
83,0.29,4.0,380,33.0,170.0,8.27,0.64,10.2,8,1,0,1,0,0,0
84,0.24,5.1,360,43.0,131.0,8.24,0.44,11.3,8,1,1,0,0,1,0
85,0.28,1.2,310,33.0,97.0,8.49,0.58,10.9,8,1,0,1,0,0,0
87,0.26,1.2,500,11.5,88.0,8.24,0.37,9.5,6,1,0,1,0,0,0
88,0.32,1.4,430,28.0,93.0,8.31,0.5,12.3,8,1,0,1,0,0,0
89,0.06,1.0,300,9.0,131.0,7.97,0.29,10.8,7,1,1,0,0,1,0
90,0.23,5.8,350,24.0,100.0,8.15,0.57,13.2,9,1,1,0,0,1,0
91,0.33,4.9,470,42.0,130.0,8.12,0.56,11.0,8,1,1,0,1,0,0
92,0.25,5.8,380,52.0,155.0,8.28,0.38,9.4,8,1,1,0,0,0,0
93,0.34,1.2,480,4.0,119.0,8.18,0.34,12.1,8,1,0,1,0,0,0
94,0.22,2.7,840,4.0,18.0,8.26,0.57,9.9,6,0,0,1,0,1,0
95,0.38,8.6,520,41.0,150.0,8.06,0.46,10.3,7,1,1,0,0,0,0
96,0.18,7.5,410,71.0,223.0,8.14,0.41,8.9,7,1,0,1,0,0,0
97,0.21,5.1,350,29.0,142.0,8.36,0.33,10.1,9,1,1,0,0,0,0
98,0.31,4.8,340,34.0,132.0,8.36,0.48,9.6,9,1,1,0,1,0,0
99,0.16,1.3,540,11.0,107.0,8.19,0.39,8.5,7,1,0,1,0,0,0
100,0.31,5.6,490,24.0,97.0,8.1,0.42,10.9,7,1,1,0,0,0,0
101,0.29,4.9,360,41.0,150.0,8.38,0.43,12.2,8,1,0,1,0,0,0
102,0.39,6.4,340,8.0,84.0,8.18,0.46,11.5,7,1,1,0,0,0,0
103,0.28,14.7,510,29.0,149.0,7.96,0.39,9.0,9,1,1,0,1,0,0
104,0.21,2.2,440,15.0,68.0,8.17,0.39,9.4,8,1,0,1,0,0,0
105,0.49,4.5,480,27.0,133.0,8.24,0.42,10.6,8,1,1,0,1,0,0
106,0.31,0.95,210,52.0,148.0,7.93,0.32,11.5,7,1,0,1,0,0,0
107,0.22,1.5,430,45.0,155.0,8.19,0.48,10.2,7,1,1,0,1,0,0
108,0.28,5.0,350,42.0,126.0,8.12,0.38,12.6,9,1,1,0,0,0,0
109,0.24,1.5,360,38.0,124.0,8.29,0.42,12.4,9,1,0,1,0,0,0
110,0.2,1.9,770,28.0,54.0,8.37,0.64,10.4,6,0,1,0,0,1,0
111,0.51,8.0,470,61.0,189.0,8.22,0.49,9.2,7,1,1,0,0,0,0
112,0.0,2.2,730,12.0,22.0,8.48,0.5,9.3,5,0,1,0,1,1,0
113,0.39,12.4,650,29.0,119.0,8.16,0.39,9.4,7,1,0,1,0,0,0
114,0.32,7.75,320,30.0,114.0,8.12,0.64,12.8,9,1,1,0,0,0,0
115,0.21,4.1,740,16.0,65.0,8.53,0.72,9.233333333,6,0,1,0,0,0,1
116,0.49,1.1,300,28.0,117.0,8.55,0.45,10.3,8,1,1,0,1,0,0
117,0.24,5.4,350,33.0,115.0,8.12,0.44,12.89333333,9,1,1,0,0,1,0
118,0.32,10.6,490,38.0,209.0,8.47,0.59,9.3,8,1,1,0,0,1,0
119,0.35,2.8,380,10.0,164.0,8.09,0.53,12.0,8,1,0,1,0,0,0
120,0.28,5.0,580,14.0,146.0,8.29,0.36,9.1,8,1,1,0,1,0,0
121,0.48,1.2,290,29.0,75.0,8.33,0.39,12.8,10,1,1,0,1,1,0
122,0.14,8.9,360,38.0,155.0,8.27,0.5,9.4,7,1,0,1,0,0,0
123,0.32,1.9,380,40.0,118.0,8.32,0.53,11.8,9,1,1,0,0,0,0
124,0.34,1.6,1190,33.0,104.0,8.19,0.38,10.2,8,1,1,0,0,0,0
125,0.49,15.4,460,13.0,119.0,8.18,0.45,9.5,7,1,0,1,0,0,0
126,0.3,1.6,460,29.0,130.0,8.22,0.38,9.8,8,1,1,0,1,0,0
127,0.36,15.7,450,68.0,183.0,8.25,0.76,9.4,7,1,1,0,0,0,0
128,0.4,1.2,760,47.0,130.0,8.13,0.45,10.3,8,1,1,0,0,0,0
129,0.31,9.4,460,6.0,194.0,8.07,0.61,9.4,7,1,1,0,0,1,0
130,0.26,2.1,620,26.0,87.0,8.1,0.47,12.8,8,1,0,1,0,0,0
131,0.74,13.5,390,46.0,165.0,8.02,0.4,8.7,7,1,0,1,0,0,0
132,0.36,10.7,440,20.0,90.0,8.16,0.44,10.9,9,1,1,0,1,0,0
133,0.07,1.7,860,15.0,48.0,8.12,0.48,10.0,5,0,0,0,1,1,0
134,0.32,2.4,450,29.0,100.0,8.08,0.6,11.3,9,1,1,0,0,0,0
135,0.28,4.8,850,12.0,69.0,8.32,0.7,11.0,6,0,0,1,0,1,0
136,0.37,1.5,430,16.0,104.0,8.18,0.5,10.8,7,1,1,0,1,0,0
137,0.4,7.3,410,49.0,115.0,8.21,0.43,11.0,8,1,1,0,0,0,0
138,0.24,14.0,480,24.0,113.0,8.44,0.53,9.8,8,1,1,0,0,1,0
140,0.32,5.8,410,20.0,119.0,8.17,0.55,11.2,8,1,1,0,0,0,0
141,0.45,8.6,570,47.0,223.0,8.16,0.51,9.1,7,1,1,0,0,0,0
142,0.7,12.15,390,21.0,158.0,8.0,0.73,9.3,8,1,0,1,0,0,0
143,0.33,1.4,290,35.0,138.0,8.36,0.6,11.5,9,1,1,0,1,0,0
144,0.41,1.4,160,6.0,55.0,8.16,0.4,13.4,7,1,1,0,0,0,0
145,0.55,5.9,450,75.0,162.0,7.97,0.4,9.3,7,1,1,0,1,0,0
146,0.21,2.3,870,21.0,68.0,8.12,0.44,9.2,5,0,0,0,1,1,0
147,0.3,12.8,620,19.0,171.0,8.0,0.52,9.0,9,1,1,0,1,0,0
148,0.12,11.5,330,35.0,165.0,8.22,0.32,9.0,7,1,0,1,0,0,0
149,0.37,1.4,740,12.0,96.0,8.32,0.58,9.2,5,0,0,1,0,0,0
150,0.51,15.3,470,54.0,171.0,8.09,0.51,9.1,7,1,0,1,0,0,0
151,0.31,2.4,740,9.0,46.0,8.41,0.54,9.4,6,0,0,1,0,0,0
152,0.47,6.5,610,23.0,150.0,8.14,0.45,9.6,8,1,0,1,0,0,0
153,0.31,1.2,260,31.0,68.0,8.33,0.44,11.65,8,1,1,0,1,0,0
154,0.24,12.6,440,48.0,118.0,8.04,0.56,10.0,9,1,1,0,0,0,0
155,0.32,1.1,390,25.0,78.0,8.39,0.54,10.2,9,1,1,0,0,0,0
156,0.19,4.2,460,6.0,114.0,8.25,0.35,8.6,6,1,1,0,0,0,0
157,0.19,7.1,480,36.0,110.0,8.26,0.41,9.5,8,1,1,0,1,0,0
158,0.17,8.2,400,13.0,60.0,8.09,0.3,9.5,6,1,0,1,0,1,0
159,0.28,4.5,510,14.0,92.0,8.36,0.58,11.9,8,1,1,0,0,0,0
160,0.65,8.3,830,27.0,182.0,8.0,0.35,9.2,7,1,1,0,0,1,0
161,0.33,1.2,330,20.0,72.0,8.12,0.38,10.5,9,1,1,0,1,0,0
162,0.42,1.5,410,35.0,125.0,8.11,0.49,11.4,9,1,1,0,0,0,0
163,0.0,1.9,970,14.0,38.0,8.37,0.58,9.0,6,0,1,0,1,1,0
164,0.28,2.2,420,21.0,177.0,8.2,0.57,11.4,7,1,0,1,0,0,0
165,0.09,6.3,420,0.0,138.0,8.15,0.48,9.7,7,1,0,1,0,0,0
166,0.74,12.5,370,47.0,156.0,8.04,0.44,8.7,7,1,1,0,0,0,0
167,0.32,9.0,390,54.0,141.0,8.22,0.43,9.4,8,1,1,0,1,0,0
168,0.34,5.3,340,33.0,104.0,8.37,0.52,9.3,9,1,1,0,1,0,0
169,0.12,10.4,960,22.0,177.0,8.32,0.45,9.1,6,1,0,1,0,1,0
170,0.28,1.5,430,19.0,113.0,8.38,0.56,10.1,8,1,1,0,0,0,0
171,0.32,1.4,480,10.0,67.0,8.08,0.41,11.4,7,1,1,0,0,1,0
172,0.52,2.2,740,13.0,25.0,8.36,0.76,12.4,7,0,0,1,0,0,0
174,0.37,7.1,470,54.0,201.0,8.19,0.48,9.5,8,1,1,0,0,0,0
175,0.22,8.8,520,24.0,113.0,8.22,0.45,9.4,7,1,1,0,0,1,0
176,0.31,1.1,450,20.0,73.0,8.32,0.4,10.8,9,1,1,0,1,0,0
177,0.3,7.9,490,38.0,157.0,8.13,0.48,8.9,8,1,1,0,0,0,0
178,0.11,2.6,790,12.0,49.0,8.21,0.57,10.0,5,0,1,0,0,1,0
179,0.27,10.9,380,29.0,130.0,8.11,0.44,10.5,9,1,1,0,0,0,0
180,0.2,2.2,490,18.0,134.0,8.21,0.68,10.0,7,1,1,0,0,0,0
181,0.28,2.7,330,38.0,94.0,7.99,0.43,11.8,9,1,1,0,0,0,0
182,0.25,3.4,760,34.0,85.0,8.19,0.42,9.2,5,0,1,0,0,0,1
183,0.07,7.0,440,33.0,147.0,8.33,0.58,9.7,7,1,1,0,1,1,0
184,0.22,5.6,390,31.0,128.0,8.12,0.46,10.4,8,1,1,0,0,0,0
185,0.48,6.8,470,13.0,134.0,8.23,0.7,10.0,7,1,1,0,0,0,0
186,0.45,1.5,570,19.0,37.0,8.18,0.89,11.1,7,0,0,1,0,0,0
187,0.28,4.0,400,24.0,81.0,8.26,0.64,12.6,9,1,0,1,0,0,0
188,0.28,6.3,570,17.0,103.0,8.5,0.44,9.6,7,1,1,0,1,0,0
189,0.24,1.1,390,6.0,62.0,8.41,0.32,10.4,7,1,1,0,1,1,0
190,0.45,4.4,460,57.0,166.0,8.13,0.62,11.2,8,1,1,0,1,0,0
191,0.14,8.6,320,30.0,142.0,8.28,0.44,9.5,8,1,1,0,0,0,0
192,0.31,2.8,470,40.0,122.0,8.06,0.64,10.9,9,1,1,0,0,0,0
193,0.24,1.6,540,25.0,117.0,8.36,0.5,9.3,7,1,0,1,0,0,0
194,0.62,7.1,330,48.0,185.0,8.14,0.62,10.6,8,1,0,1,0,0,0
195,0.31,10.7,380,59.0,186.0,8.12,0.55,9.5,8,1,1,0,0,0,0
196,0.31,7.6,470,52.0,177.0,8.13,0.45,8.9,8,1,1,0,0,0,0
197,0.34,6.7,290,21.0,162.0,8.08,0.5,10.6,8,1,1,0,0,0,0
198,0.25,3.9,1040,28.0,90.0,8.15,0.57,9.1,5,0,1,0,0,1,0
199,0.03,2.3,770,7.0,28.0,8.35,0.52,10.0,5,0,0,1,0,1,0
201,0.25,14.3,440,27.0,149.0,7.91,0.46,9.2,8,1,1,0,1,0,0
202,0.37,6.1,270,38.0,112.0,8.19,0.34,12.4,8,1,1,0,0,0,0
203,0.26,1.4,410,40.0,141.0,8.34,0.72,9.5,8,1,1,0,1,0,0
204,0.34,8.9,480,32.0,111.0,8.25,0.54,11.0,9,1,1,0,0,0,0
205,0.28,2.4,120,36.0,100.0,8.26,0.39,11.7,9,1,1,0,0,0,0
206,0.3,3.1,180,15.0,37.0,8.02,0.52,11.9,9,1,1,0,1,0,0
207,0.65,2.6,930,15.0,47.0,8.05,0.61,10.6,5,0,0,1,0,0,0
208,0.26,1.6,580,53.0,150.0,8.18,0.5,9.9,9,1,1,0,0,0,0
209,0.27,4.0,380,37.0,97.0,8.2,0.6,12.6,10,1,0,1,0,0,0
210,0.21,5.1,350,29.0,142.0,8.36,0.33,10.1,9,1,1,0,0,0,0
211,0.49,16.8,480,50.0,228.0,8.03,0.52,9.2,8,1,1,0,0,0,0
212,0.49,1.5,520,34.0,134.0,7.99,0.61,9.8,8,1,1,0,0,0,0
213,0.46,3.8,410,82.0,187.0,8.19,0.6,11.2,9,1,1,0,1,0,0
214,0.0,1.9,580,5.0,10.0,8.18,0.63,10.4,6,0,1,0,1,1,0
215,0.4,1.7,310,48.0,134.0,8.42,0.49,11.5,8,1,1,0,0,0,0
216,0.38,1.0,370,21.0,74.0,8.21,0.37,11.0,7,1,1,0,0,0,0
217,0.25,7.8,580,44.0,166.0,8.24,0.41,9.0,7,1,1,0,0,0,0
218,0.47,2.5,630,9.0,28.0,8.24,0.65,10.8,6,0,1,0,0,1,0
219,0.42,15.1,330,28.0,124.0,7.87,0.47,9.5,7,1,1,0,1,0,0
220,0.1,3.1,860,5.0,12.0,8.54,0.6,11.2,4,0,1,0,1,0,1
221,0.36,1.3,360,40.0,117.0,8.27,0.95,9.5,9,1,1,0,1,0,0
222,0.06,2.0,600,4.0,11.0,8.53,0.64,10.9,4,0,0,1,1,0,0
223,0.24,8.5,550,45.0,151.0,8.2,0.52,9.2,7,1,1,0,0,1,0
224,0.33,10.7,360,27.0,98.0,8.34,0.52,10.2,8,1,0,1,0,0,0
225,0.32,5.6,390,15.0,68.0,7.96,0.52,11.1,8,1,1,0,0,0,0
226,0.49,2.6,940,38.0,106.0,8.08,0.59,9.1,5,0,1,0,0,1,0
227,0.34,5.1,620,8.0,22.0,8.22,0.94,10.9,6,0,1,0,0,0,0
228,0.0,4.1,950,5.0,14.0,8.36,0.53,9.6,5,0,1,0,0,0,1
229,0.25,10.6,390,32.0,120.0,8.31,0.34,10.1,8,1,1,0,0,0,0
230,0.25,19.1,450,50.0,208.0,8.05,0.5,9.2,8,1,1,0,0,0,0
231,0.06,2.5,790,5.0,10.0,8.39,0.56,9.8,5,0,0,1,1,0,0
232,0.27,6.6,540,40.0,158.0,8.2,0.48,10.3,7,1,1,0,0,0,0
233,0.41,16.8,840,59.0,222.0,8.18,0.58,9.0,7,1,1,0,0,1,0
234,0.14,1.5,740,25.0,168.0,8.05,0.51,9.3,7,1,1,0,1,1,0
236,0.31,3.6,360,22.0,91.0,8.41,0.5,9.8,8,1,1,0,0,0,0
237,0.3,13.0,430,46.0,238.0,8.06,0.41,8.7,8,1,1,0,0,0,0
238,0.43,8.9,830,50.0,171.0,7.85,0.5,9.0,7,1,1,0,0,0,0
239,0.36,2.0,290,21.0,63.0,8.13,0.63,12.5,8,1,1,0,0,0,0
240,0.2,17.9,660,36.0,161.0,8.14,0.51,8.8,7,1,0,1,0,0,0
243,0.26,1.4,390,30.0,104.0,8.32,0.41,12.4,8,1,1,0,1,0,0
244,0.24,2.7,920,14.0,44.0,8.12,0.74,10.0,6,0,1,0,0,1,0
245,0.08,2.1,710,16.0,24.0,8.56,0.77,11.1,6,0,1,0,1,1,0
246,0.29,15.4,730,56.0,173.0,8.06,0.41,8.7,8,1,1,0,0,0,0
247,0.1,3.5,440,17.0,63.0,8.01,0.39,9.2,7,1,0,1,0,0,0
248,0.25,7.8,310,24.0,116.0,8.39,0.4,11.3,8,1,0,1,0,0,0
249,0.3,0.9,190,4.0,28.0,8.2,0.36,12.0,8,1,1,0,0,0,0
250,0.36,15.7,500,29.0,124.0,8.06,0.54,10.4,7,1,1,0,0,0,0
251,0.49,2.5,970,33.0,85.0,8.39,0.77,11.4,6,0,0,1,0,0,0
252,0.27,11.6,280,22.0,97.0,7.96,0.38,11.7,8,1,0,1,0,0,0
253,0.18,7.0,880,27.0,94.0,8.38,0.77,9.4,5,0,1,0,1,1,0
254,0.3,3.5,330,27.0,135.0,8.0,0.37,12.0,8,1,1,0,0,1,0
255,0.28,14.7,510,29.0,149.0,7.96,0.39,9.0,9,1,1,0,1,0,0
256,0.24,11.9,400,54.0,159.0,8.14,0.54,9.8,8,1,1,0,0,1,0
257,0.29,13.3,390,49.0,130.0,8.33,0.46,11.0,10,1,1,0,0,0,0
258,0.45,1.8,500,17.0,114.0,8.33,0.49,10.7,9,1,1,0,1,0,0
259,0.39,2.2,1060,8.0,32.0,7.89,0.5,9.6,5,0,1,0,0,1,0
261,0.15,3.0,640,12.0,27.0,8.33,0.59,12.8,6,0,0,1,0,1,0
262,0.41,2.0,270,14.0,79.0,8.27,0.63,12.4,8,1,0,1,0,0,0
263,0.27,15.5,500,25.0,135.0,7.9,0.43,8.7,9,1,1,0,1,0,0
264,0.39,1.9,540,6.0,17.0,8.17,0.47,10.0,5,0,1,0,1,1,0
265,0.08,2.1,710,16.0,24.0,8.56,0.77,11.1,6,0,1,0,1,1,0
266,0.32,1.2,360,7.0,89.0,8.26,0.48,11.0,7,1,1,0,1,0,0
267,0.35,1.6,390,24.0,147.0,7.96,0.36,10.0,7,1,1,0,1,0,0
268,0.41,13.6,500,41.0,178.0,8.37,0.43,9.7,7,1,1,0,0,0,0
269,0.28,1.2,400,31.0,111.0,8.18,0.53,11.1,7,1,1,0,0,0,0
270,0.27,2.3,420,19.0,120.0,8.32,0.41,12.7,9,1,0,1,0,0,0
271,0.34,2.3,940,10.0,45.0,8.24,0.6,9.7,7,0,0,1,0,1,0
272,0.32,1.6,530,47.0,150.0,8.29,0.76,9.6,8,1,1,0,1,0,0
274,0.24,2.3,340,25.0,133.0,8.34,0.59,12.0,9,1,0,1,0,0,0
275,0.19,1.8,1040,12.0,47.0,8.19,0.93,9.5,5,0,0,1,0,1,0
276,0.4,1.2,270,36.0,121.0,8.12,0.38,10.7,8,1,1,0,0,0,0
277,0.24,2.1,340,49.0,121.0,7.98,0.43,13.2,9,1,1,0,0,0,0
278,0.04,1.3,580,25.0,133.0,8.17,0.39,10.2,6,1,1,0,1,1,0
279,0.27,1.7,300,31.0,103.0,8.35,0.37,12.9,8,1,1,0,1,0,0
280,0.34,15.4,500,38.0,174.0,8.03,0.42,9.0,8,1,1,0,0,0,0
281,0.33,4.8,430,45.0,114.0,8.18,0.44,11.2,8,1,1,0,1,0,0
282,0.4,1.9,280,32.0,138.0,8.26,0.72,11.7,7,1,1,0,0,0,0
283,0.12,4.8,540,6.0,97.0,8.16,0.5,9.3,7,1,0,1,0,0,0
284,0.09,2.8,840,18.0,49.0,8.43,0.72,11.1,6,0,0,0,1,1,0
285,0.24,11.2,310,41.0,167.0,8.12,0.43,11.3,9,1,1,0,0,1,0
286,0.28,2.4,560,49.0,159.0,8.02,0.47,8.8,10,1,1,0,0,0,0
287,0.42,1.1,510,61.0,197.0,8.02,0.4,9.0,7,1,1,0,0,1,0
288,0.32,1.7,350,39.0,84.0,8.59,0.48,12.7,9,1,1,0,0,1,0
289,0.49,4.2,950,10.0,23.0,7.92,0.74,11.1,5,0,1,0,1,1,0
290,0.49,1.5,510,18.0,87.0,8.3,0.46,9.6,7,1,1,0,0,0,0
291,0.27,4.4,550,17.0,135.0,8.23,0.44,12.2,8,1,0,1,0,0,0
292,0.0,1.9,970,14.0,38.0,8.37,0.58,9.0,6,0,1,0,1,1,0
293,0.01,1.6,480,26.0,60.0,8.7,0.75,14.0,6,0,0,1,0,0,0
294,0.33,3.5,360,23.0,92.0,8.18,0.38,11.2,8,1,0,1,0,0,0
295,0.19,3.2,330,28.0,124.0,8.22,0.54,12.7,9,1,1,0,0,1,0
296,0.34,9.9,380,30.0,133.0,8.11,0.44,9.8,7,1,1,0,0,0,0
297,0.28,1.5,370,12.0,119.0,8.32,0.51,10.4,9,1,0,1,0,0,0
298,0.02,2.0,730,9.0,18.0,8.36,0.57,9.5,7,0,0,1,0,1,0
299,0.31,2.0,560,15.0,29.0,8.23,0.76,11.3,8,0,0,1,0,0,0
300,0.26,14.8,530,44.0,95.0,8.2,0.35,9.8,8,1,1,0,1,0,0
301,0.26,7.4,520,45.0,128.0,8.16,0.37,10.0,8,1,1,0,1,0,0
303,0.32,7.4,150,47.0,124.0,7.99,0.39,11.0,8,1,1,0,1,0,0
304,0.32,5.2,430,18.0,104.0,8.24,0.45,10.7,6,1,1,0,0,1,0
305,0.09,1.8,740,4.0,25.0,8.38,0.45,9.6,5,0,1,0,0,0,1
306,0.38,2.6,660,29.0,56.0,8.15,0.79,12.1,7,0,0,1,0,1,0
307,0.53,2.6,700,5.0,16.0,8.15,0.65,11.0,8,0,0,1,0,0,0
308,0.29,1.0,420,35.0,101.0,8.36,0.48,11.4,9,1,1,0,0,0,0
309,0.32,4.8,560,39.0,113.0,8.11,0.52,10.2,9,1,1,0,0,0,0
310,0.36,1.9,650,5.0,10.0,8.27,0.54,11.2,7,0,0,1,0,0,0
311,0.26,7.7,530,20.0,103.0,8.27,0.45,12.2,8,1,0,1,0,0,0
312,0.08,2.4,920,10.0,41.0,8.24,0.71,9.8,6,0,0,0,1,1,0
313,0.37,1.6,870,27.0,177.0,8.09,0.5,9.8,7,1,0,1,0,0,0
315,0.34,2.5,800,26.0,86.0,8.38,0.62,9.5,6,0,1,0,0,1,0
316,0.24,1.6,260,26.0,189.0,8.08,0.74,12.1,9,1,1,0,0,0,0
317,0.29,5.5,420,44.0,189.0,8.19,0.47,10.3,8,1,1,0,1,0,0
318,0.42,14.6,440,45.0,163.0,8.21,0.69,8.6,9,1,1,0,0,0,0
319,0.27,9.8,550,74.0,134.0,8.16,0.4,10.2,8,1,1,0,0,0,0
320,0.3,1.2,360,42.0,107.0,8.34,0.56,10.8,9,1,1,0,0,0,0
