,song_name,artist_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
17,Hey Ya! - Radio Mix / Club Mix,['Outkast'],spotify:track:5WQ1hIc5d2EVbRQ8qsj8Uh,0.719,0.967,0,-2.435,1,0.0552,0.0588,0.000249,0.206,0.964,79.505,spotify:track:5WQ1hIc5d2EVbRQ8qsj8Uh,235213,4
18,Anarchy In The UK - Remastered 2012,['Sex Pistols'],spotify:track:3JS4Guc7Hld2JomrBybQIt,0.359,0.949,0,-7.649,1,0.101,0.0556,0.000396,0.236,0.212,134.118,spotify:track:3JS4Guc7Hld2JomrBybQIt,212480,4
19,Paper Planes,['M.I.A.'],spotify:track:5QlGALr14YMN0xIDmIwleg,0.541,0.854,2,-6.196,1,0.155,0.0254,0.000125,0.651,0.454,86.044,spotify:track:5QlGALr14YMN0xIDmIwleg,205200,4
20,London Calling,['The Clash'],spotify:track:5BXoDYim9Upsv8dsuSJQPa,0.653,0.797,0,-6.958,1,0.048,0.0738,0.0,0.0847,0.726,133.725,spotify:track:5BXoDYim9Upsv8dsuSJQPa,199733,4
21,Sympathy For The Devil,['The Rolling Stones'],spotify:track:4sFbojhVXQv7dBC9PVCcRn,0.566,0.673,9,-10.814,1,0.306,0.565,1.13e-06,0.0438,0.583,114.385,spotify:track:4sFbojhVXQv7dBC9PVCcRn,377747,4
22,Strawberry Fields Forever - Remastered,['The Beatles'],spotify:track:5EuraV2jbqB15ihd3d2Hex,0.39,0.502,10,-12.277,1,0.178,0.336,0.000138,0.0713,0.289,97.871,spotify:track:5EuraV2jbqB15ihd3d2Hex,247320,4
23,Tutti Frutti,['Little Richard'],spotify:track:3Os0VNtvEnRFlXSK5dvOFu,0.532,0.591,0,-3.81,0,0.0591,0.782,0.0,0.0647,0.962,184.4,spotify:track:3Os0VNtvEnRFlXSK5dvOFu,146640,4
24,Stairway To Heaven,['Led Zeppelin'],spotify:track:0AJ62x1CXjJf3VW25CeZXa,0.346,0.335,7,-12.453,1,0.0339,0.575,0.00674,0.185,0.213,84.204,spotify:track:0AJ62x1CXjJf3VW25CeZXa,478173,4
25,The Message (feat. Melle Mel & Duke Bootee),"['Grandmaster Flash & The Furious Five', 'Grandmaster Melle Mel', 'Duke Bootee']",spotify:track:5DuTNKFEjJIySAyJH1yNDU,0.947,0.607,10,-10.58,0,0.202,0.0249,4.76e-06,0.0861,0.732,100.619,spotify:track:5DuTNKFEjJIySAyJH1yNDU,431800,4
26,What'd I Say,['Ray Charles'],spotify:track:21WrPeWVmWWBAx0dXYck9L,0.506,0.618,4,-11.278,1,0.0708,0.657,2.31e-05,0.248,0.789,89.023,spotify:track:21WrPeWVmWWBAx0dXYck9L,386560,4
27,Imagine - Remastered 2010,['John Lennon'],spotify:track:7pKfPomDEeI4TPT6EOYjn9,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,spotify:track:7pKfPomDEeI4TPT6EOYjn9,187867,4
28,A Change Is Gonna Come,['Sam Cooke'],spotify:track:0RFKuagqUgR4X8C1QneCCq,0.214,0.4,10,-10.042,1,0.0342,0.756,0.0,0.325,0.508,169.683,spotify:track:0RFKuagqUgR4X8C1QneCCq,191160,3
29,Heroes - 1999 Remaster,['David Bowie'],spotify:track:5j6ZZwA9BnxZi5Bk0Ng4jB,0.478,0.774,7,-6.977,1,0.0292,0.000265,0.585,0.191,0.429,112.577,spotify:track:5j6ZZwA9BnxZi5Bk0Ng4jB,370373,4
30,When Doves Cry,['Prince'],spotify:track:51H2y6YrNNXcy3dfc3qSbA,0.729,0.989,9,-4.613,0,0.049,0.0102,4.45e-05,0.443,0.84,126.47,spotify:track:51H2y6YrNNXcy3dfc3qSbA,352906,4
31,Superstition,['Stevie Wonder'],spotify:track:1kryOQS9FQDsbYY4db5zS5,0.609,0.657,1,-11.496,1,0.0695,0.0308,0.00221,0.071,0.872,100.607,spotify:track:1kryOQS9FQDsbYY4db5zS5,266160,4
32,Common People,['Pulp'],spotify:track:0LEoCPq4QlV2h41Fm5ENJ3,0.319,0.839,0,-7.341,1,0.0404,0.00596,7.99e-05,0.0764,0.538,144.938,spotify:track:0LEoCPq4QlV2h41Fm5ENJ3,350373,4
33,Gimme Shelter,['The Rolling Stones'],spotify:track:1dv3ePjze9tPq2pk8eWJdR,0.63,0.616,1,-8.128,0,0.0309,0.463,0.0408,0.173,0.509,118.65,spotify:track:1dv3ePjze9tPq2pk8eWJdR,270773,4
34,Strange Fruit,['Billie Holiday'],spotify:track:2sq8Rz7pspqExxUF0gPaJ7,0.304,0.104,10,-15.835,0,0.0313,0.963,0.000291,0.177,0.0608,81.02,spotify:track:2sq8Rz7pspqExxUF0gPaJ7,189360,3
35,You Really Got Me,['The Kinks'],spotify:track:4CZn7RvBSLun4ropg0UNZV,0.571,0.908,1,-8.208,1,0.0907,0.412,1.19e-06,0.0802,0.958,137.43,spotify:track:4CZn7RvBSLun4ropg0UNZV,133573,4
36,Crazy In Love (feat. Jay-Z),"['Beyoncé', 'JAY-Z']",spotify:track:5IVuqXILoxVWvWEPm82Jxr,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,spotify:track:5IVuqXILoxVWvWEPm82Jxr,236133,4
37,Seven Nation Army,['The White Stripes'],spotify:track:3m6KkYKdnbffMpGd9Pm9FP,0.745,0.466,4,-7.62,0,0.0864,0.00666,0.35,0.272,0.303,123.889,spotify:track:3m6KkYKdnbffMpGd9Pm9FP,231920,4
38,Losing My Religion,['R.E.M.'],spotify:track:74EV0g12ihUoOUXMprFpZB,0.672,0.841,9,-5.992,0,0.0285,0.0767,0.0,0.135,0.82,125.437,spotify:track:74EV0g12ihUoOUXMprFpZB,267733,4
39,God Save The Queen,['Sex Pistols'],spotify:track:2mHchPRtQWet3iIS3jANr1,0.304,0.901,9,-7.756,1,0.0602,0.00105,0.000376,0.158,0.541,147.199,spotify:track:2mHchPRtQWet3iIS3jANr1,199453,4
40,Bohemian Rhapsody - Remastered 2011,['Queen'],spotify:track:1AhDOtG9vPSOmsWgNW0BEY,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,spotify:track:1AhDOtG9vPSOmsWgNW0BEY,354320,4
41,Blue Monday,['New Order'],spotify:track:6tzeMSH4TRGBTzdNvbF5hr,0.757,0.758,0,-7.873,1,0.0512,0.00708,0.831,0.112,0.918,130.505,spotify:track:6tzeMSH4TRGBTzdNvbF5hr,447013,4
42,Purple Haze,['Jimi Hendrix'],spotify:track:0wJoRiX5K5BxlqZTolB2LD,0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,spotify:track:0wJoRiX5K5BxlqZTolB2LD,170813,4
43,Louie Louie,['The Kingsmen'],spotify:track:0iA3xXSkSCiJywKyo1UKjQ,0.623,0.709,1,-9.818,0,0.0636,0.102,0.0,0.0967,0.948,122.394,spotify:track:0iA3xXSkSCiJywKyo1UKjQ,165381,4
44,I Want You Back,['The Jackson 5'],spotify:track:3b0EOvScbZUc0qJx0E1L2z,0.639,0.548,8,-13.534,1,0.0394,0.29,9.68e-05,0.366,0.887,98.359,spotify:track:3b0EOvScbZUc0qJx0E1L2z,176333,4
45,Crazy,['Gnarls Barkley'],spotify:track:1vxw6aYJls2oq3gW0DujAo,0.855,0.587,8,-4.589,1,0.0336,0.0505,0.00714,0.105,0.64,111.97,spotify:track:1vxw6aYJls2oq3gW0DujAo,177466,4
46,You've Lost That Lovin' Feelin' - Single Version,['The Righteous Brothers'],spotify:track:3no0tiiQldD3LnsxwVtnnk,0.357,0.389,1,-9.702,1,0.0269,0.569,0.0,0.099,0.324,94.211,spotify:track:3no0tiiQldD3LnsxwVtnnk,224000,4
47,Hey Jude - Remastered,['The Beatles'],spotify:track:0eY0YgyLAZ4gtM57wwYN7H,0.394,0.566,10,-9.435,1,0.0261,0.0304,3.64e-05,0.101,0.631,148.029,spotify:track:0eY0YgyLAZ4gtM57wwYN7H,429933,4
48,Waterloo Sunset - Stereo,['The Kinks'],spotify:track:784WsZD4irVO0PA5NCZbTi,0.517,0.692,1,-7.273,0,0.0246,0.253,0.0,0.172,0.476,107.958,spotify:track:784WsZD4irVO0PA5NCZbTi,193293,4
49,Take Me Out,['Franz Ferdinand'],spotify:track:7kw6yVmdZGuRcWGi4adXYT,0.273,0.665,9,-8.795,1,0.0382,0.000458,0.000893,0.117,0.514,104.656,spotify:track:7kw6yVmdZGuRcWGi4adXYT,239027,4
50,Get Ur Freak On,['Missy Elliott'],spotify:track:13KEdaWIc7T6ozEmnJjHy1,0.78,0.787,0,-6.653,1,0.209,0.533,0.134,0.122,0.668,177.835,spotify:track:13KEdaWIc7T6ozEmnJjHy1,237067,4
51,That'll Be the Day,"['The Crickets', 'Buddy Holly']",spotify:track:0AeYLiUH4QIEp7I8yrXyUo,0.654,0.523,9,-8.053,1,0.0349,0.8,0.0,0.285,0.851,126.819,spotify:track:0AeYLiUH4QIEp7I8yrXyUo,136853,4
52,Light My Fire,['The Doors'],spotify:track:5uvosCdMlFdTXhoazkTI5R,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,spotify:track:5uvosCdMlFdTXhoazkTI5R,429760,4
53,I Feel Love,['Donna Summer'],spotify:track:2WzEWQN3dI5rQSYH1y4FLM,0.639,0.659,5,-16.098,0,0.0491,0.0166,0.633,0.116,0.92,126.436,spotify:track:2WzEWQN3dI5rQSYH1y4FLM,201735,4
54,There Is a Light That Never Goes Out - 2011 Remaster,['The Smiths'],spotify:track:0WQiDwKJclirSYG9v5tayI,0.523,0.769,4,-5.855,1,0.0269,0.04,0.0,0.136,0.876,136.162,spotify:track:0WQiDwKJclirSYG9v5tayI,244587,4
55,Space Oddity - 2009 Remastered Version,['David Bowie'],spotify:track:3sb66av9ZpdI1JmPDHVa18,0.337,0.365,0,-15.091,1,0.0318,0.0788,3.84e-05,0.202,0.497,136.264,spotify:track:3sb66av9ZpdI1JmPDHVa18,317027,4
56,Stand by Me,['Ben E. King'],spotify:track:7jmHyHMEqm9MJWiMAneF05,0.632,0.232,9,-12.326,1,0.0318,0.428,4.95e-06,0.215,0.673,119.136,spotify:track:7jmHyHMEqm9MJWiMAneF05,175493,4
57,Mr. Tambourine Man,['The Byrds'],spotify:track:2HCaIYjkvWSZzaSKUoOh3d,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336,spotify:track:2HCaIYjkvWSZzaSKUoOh3d,149467,4
58,Bitter Sweet Symphony,['The Verve'],spotify:track:5yEPxDjbbzUzyauGtnmVEC,0.389,0.889,9,-6.546,1,0.0442,0.0415,0.0,0.463,0.524,171.121,spotify:track:5yEPxDjbbzUzyauGtnmVEC,358427,4
59,(We're Gonna) Rock Around The Clock,['Bill Haley & His Comets'],spotify:track:7oDq6PidL34An1VqTQUd5o,0.77,0.812,9,-9.013,1,0.145,0.384,2.34e-06,0.122,0.897,90.984,spotify:track:7oDq6PidL34An1VqTQUd5o,129400,4
60,Layla - 40th Anniversary Version / 2010 Remastered,['Derek & The Dominos'],spotify:track:5kmbjtL6Q6zkATdc02JJHv,0.404,0.903,1,-3.88,1,0.0668,0.577,0.297,0.287,0.498,115.672,spotify:track:5kmbjtL6Q6zkATdc02JJHv,423840,4
61,River Deep - Mountain High,['Ike & Tina Turner'],spotify:track:4psjgB5e5HIuUeSVbEUY64,0.324,0.641,3,-11.12,1,0.0451,0.189,8.47e-05,0.109,0.308,83.901,spotify:track:4psjgB5e5HIuUeSVbEUY64,219133,4
62,Unfinished Sympathy - 2006 Digital Remaster,['Massive Attack'],spotify:track:7cFfFVVubc4K5qB0jGyguY,0.592,0.891,7,-5.637,1,0.0316,0.0145,0.141,0.394,0.717,114.348,spotify:track:7cFfFVVubc4K5qB0jGyguY,312293,4
63,Loser,['Beck'],spotify:track:4b8GTae6rqb9oPiRzVa3Gy,0.595,0.617,6,-10.455,0,0.117,0.0343,0.000135,0.383,0.823,85.387,spotify:track:4b8GTae6rqb9oPiRzVa3Gy,234960,4
64,Fight The Power,['Public Enemy'],spotify:track:26zWdOUpB6P9E9OtQQc0qp,0.798,0.586,2,-13.001,1,0.255,0.00556,2.34e-06,0.473,0.381,105.979,spotify:track:26zWdOUpB6P9E9OtQQc0qp,282640,4
65,Once in a Lifetime - 2005 Remaster,['Talking Heads'],spotify:track:38Ngied9rBORlAbLYNCl4k,0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,spotify:track:38Ngied9rBORlAbLYNCl4k,259907,4
66,Paranoid Android,['Radiohead'],spotify:track:0LTZD4vTsp0EN1wXatc9IR,0.328,0.762,5,-8.651,1,0.0476,0.0342,0.00876,0.198,0.274,125.75,spotify:track:0LTZD4vTsp0EN1wXatc9IR,383507,4
67,Whole Lotta Love - Remaster,['Led Zeppelin'],spotify:track:49Y7HyMsxQegZqry19Ev9N,0.401,0.893,9,-11.171,1,0.437,0.0617,0.0391,0.164,0.406,87.979,spotify:track:49Y7HyMsxQegZqry19Ev9N,334555,4
68,Alright,['Kendrick Lamar'],spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,219333,4
69,House of the Rising Sun,['The Animals'],spotify:track:3XC7Jd6SfrQYKZJ6inyRHK,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,spotify:track:3XC7Jd6SfrQYKZJ6inyRHK,269907,3
70,Walk on the Wild Side,['Lou Reed'],spotify:track:0EFEkt29P7Icr7dO4vN6yk,0.564,0.262,0,-19.746,1,0.105,0.652,0.000204,0.0896,0.376,104.5,spotify:track:0EFEkt29P7Icr7dO4vN6yk,253960,4
71,Hotel California,['Eagles'],spotify:track:1yFTRoAbHkziFCd8WP3Fv4,0.55,0.593,2,-7.619,1,0.0258,0.00511,0.00127,0.106,0.543,147.617,spotify:track:1yFTRoAbHkziFCd8WP3Fv4,390267,4
72,99 Problems,['JAY-Z'],spotify:track:1l6DvDFssUqMnsFJNFnrRJ,0.494,0.887,6,-4.297,0,0.398,0.00661,0.0,0.103,0.548,89.554,spotify:track:1l6DvDFssUqMnsFJNFnrRJ,234627,4
73,Dancing On My Own,['Robyn'],spotify:track:7lItUx11Vl9heRR9H68h2M,0.687,0.865,6,-4.663,1,0.0349,0.0743,0.225,0.0966,0.261,117.015,spotify:track:7lItUx11Vl9heRR9H68h2M,288670,4
74,Formation,['Beyoncé'],spotify:track:6g0Orsxv6glTJCt4cHsRsQ,0.896,0.621,5,-6.857,0,0.237,0.00532,0.0,0.196,0.818,121.966,spotify:track:6g0Orsxv6glTJCt4cHsRsQ,206080,4
75,Let's Stay Together,['Al Green'],spotify:track:00P1T28MyzQJbj3tn9tTUp,0.762,0.244,5,-18.114,1,0.0551,0.388,0.0137,0.0663,0.558,101.57,spotify:track:00P1T28MyzQJbj3tn9tTUp,199507,4
76,Jumpin' Jack Flash,['The Rolling Stones'],spotify:track:5FMlUJ6wd2aN0lkdlRrEtH,0.575,0.909,3,-8.003,1,0.0654,0.0582,0.238,0.0724,0.693,137.335,spotify:track:5FMlUJ6wd2aN0lkdlRrEtH,222280,4
77,All My Friends,['LCD Soundsystem'],spotify:track:2Ud3deeqLAG988pfW0Kwcl,0.701,0.788,2,-5.611,1,0.0425,0.148,0.625,0.0977,0.795,142.584,spotify:track:2Ud3deeqLAG988pfW0Kwcl,462267,4
78,California Dreamin',['The Mamas & The Papas'],spotify:track:63rva3TBizr6x1Yp5uwKfD,0.554,0.667,1,-10.226,0,0.0342,0.628,0.0,0.0486,0.597,112.749,spotify:track:63rva3TBizr6x1Yp5uwKfD,157960,4
79,Blitzkrieg Bop - 2001 Remaster,['Ramones'],spotify:track:2hrF1aiAFGa7bWgt2qhyrc,0.535,0.784,9,-5.073,1,0.0484,0.00557,0.171,0.0852,0.962,176.241,spotify:track:2hrF1aiAFGa7bWgt2qhyrc,132733,4
80,Dancing In The Street,['Martha Reeves & The Vandellas'],spotify:track:6TPl5DQrkBY2XIqIaFmxqi,0.543,0.807,11,-5.973,0,0.0359,0.0567,0.000858,0.32,0.685,126.157,spotify:track:6TPl5DQrkBY2XIqIaFmxqi,159920,4
81,Hound Dog,['Elvis Presley'],spotify:track:0rfZ0RTGqRSCQF1LcOuzEy,0.355,0.722,0,-9.338,1,0.0498,0.712,0.00309,0.805,0.946,176.708,spotify:track:0rfZ0RTGqRSCQF1LcOuzEy,136160,4
82,Oblivion,['Grimes'],spotify:track:2RtNSM8cPCAOZ5bvQbW6y3,0.697,0.529,2,-8.838,1,0.0338,0.115,0.901,0.0895,0.486,155.974,spotify:track:2RtNSM8cPCAOZ5bvQbW6y3,251267,4
83,I Want To Hold Your Hand - Remastered,['The Beatles'],spotify:track:3JueJBdcGQaEAaWqPamsQt,0.492,0.722,7,-6.348,1,0.0395,0.581,4.47e-06,0.354,0.926,130.97,spotify:track:3JueJBdcGQaEAaWqPamsQt,146533,4
84,All Along the Watchtower,['Jimi Hendrix'],spotify:track:2aoo2jlRnM3A0NyLQqMN2f,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,240800,4
85,Nothing Compares 2 U,"[""Sinéad O'Connor""]",spotify:track:4j6Hkosuk9xHcowXjtwefs,0.511,0.574,5,-7.016,1,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,spotify:track:4j6Hkosuk9xHcowXjtwefs,280040,4
86,How Soon Is Now? - 2011 Remaster,['The Smiths'],spotify:track:1YrnDTqvcnUKxAIeXyaEmU,0.398,0.93,11,-6.76,1,0.0615,0.000854,0.121,0.0874,0.725,190.818,spotify:track:1YrnDTqvcnUKxAIeXyaEmU,408173,4
87,Sweet Child O' Mine,"[""Guns N' Roses""]",spotify:track:5r9AgnhkPQXeKG1w5rauDq,0.45,0.904,6,-7.736,1,0.046,0.0872,0.108,0.102,0.689,125.072,spotify:track:5r9AgnhkPQXeKG1w5rauDq,356000,4
88,For What It's Worth,['Buffalo Springfield'],spotify:track:1qRA5BS78u3gME0loMl9AA,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,spotify:track:1qRA5BS78u3gME0loMl9AA,153693,4
89,The Weight - Remastered,['The Band'],spotify:track:0sDqo9UPzPUtu9wEkI3zRB,0.63,0.519,9,-10.997,1,0.0528,0.225,4.3e-06,0.0974,0.502,143.942,spotify:track:0sDqo9UPzPUtu9wEkI3zRB,278627,4
90,Runaway,"['Kanye West', 'Pusha T']",spotify:track:0jOL63hLMeSCHTXPdFkniq,0.383,0.579,1,-3.765,0,0.103,0.198,0.00184,0.517,0.103,86.522,spotify:track:0jOL63hLMeSCHTXPdFkniq,547733,4
91,Ghost Town - Extended Version,['The Specials'],spotify:track:5jSQJ9n4kScujfTwDEtyC2,0.666,0.654,0,-11.691,0,0.0926,0.0547,0.702,0.341,0.898,73.687,spotify:track:5jSQJ9n4kScujfTwDEtyC2,359173,4
92,Royals,['Lorde'],spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,190185,4
93,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",spotify:track:2Foc5Q5nqNiosCNqttzHof,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,spotify:track:2Foc5Q5nqNiosCNqttzHof,248413,4
94,Suspicious Minds,['Elvis Presley'],spotify:track:0pQBojXn2OhjSKGdlyknvc,0.477,0.378,7,-11.225,1,0.03,0.0377,3.49e-06,0.453,0.688,116.393,spotify:track:0pQBojXn2OhjSKGdlyknvc,260973,4
95,Life On Mars? - 1999 Remastered Version,"['David Bowie', 'Ken Scott']",spotify:track:1C9NuEa1wOF15EOBuWaaxS,0.44,0.591,10,-7.859,1,0.0369,0.53,1.03e-05,0.171,0.373,121.398,spotify:track:1C9NuEa1wOF15EOBuWaaxS,223413,4
96,Reach Out I'll Be There - Single Version / Mono,['Four Tops'],spotify:track:2VwRmAIjgmwNPDh4eMK1EH,0.619,0.803,3,-3.521,0,0.0317,0.0703,0.0,0.27,0.73,119.538,spotify:track:2VwRmAIjgmwNPDh4eMK1EH,179667,4
97,That's All Right Mama,['Elvis Presley'],spotify:track:38xhKLmi4SqnKMZy4ySBkD,0.649,0.473,2,-7.875,1,0.0324,0.73,4.92e-05,0.176,0.658,105.048,spotify:track:38xhKLmi4SqnKMZy4ySBkD,120267,4
98,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,['James Brown'],spotify:track:1qvY84PQZYJ6ZLhQ9DEl2R,0.825,0.812,10,-4.663,0,0.108,0.319,4.58e-05,0.267,0.847,108.352,spotify:track:1qvY84PQZYJ6ZLhQ9DEl2R,316253,4
99,Wonderwall,['Oasis'],spotify:track:5bj4hb0QYTs44PDiwbI5CS,0.413,0.85,2,-5.593,1,0.0362,0.00228,0.0,0.124,0.481,174.423,spotify:track:5bj4hb0QYTs44PDiwbI5CS,258907,4
100,Heroin,"['The Velvet Underground', 'Nico']",spotify:track:2SdDQZ4WupgDZP6eykOHHY,0.209,0.79,1,-10.12,1,0.0956,0.29,0.798,0.0999,0.251,145.233,spotify:track:2SdDQZ4WupgDZP6eykOHHY,433573,4
101,Whole Lotta Shakin' Goin' On,['Jerry Lee Lewis'],spotify:track:3LUHtV6F7IHAOognkvcEKv,0.35,0.573,0,-11.34,1,0.0317,0.741,2.03e-05,0.171,0.562,163.654,spotify:track:3LUHtV6F7IHAOognkvcEKv,173867,4
102,Thunder Road,['Bruce Springsteen'],spotify:track:556BL7XJ7PFXX8r3ozKYVa,0.374,0.606,5,-10.836,1,0.0347,0.667,1.23e-06,0.25,0.649,140.267,spotify:track:556BL7XJ7PFXX8r3ozKYVa,287360,4
103,One,['U2'],spotify:track:3PY7bg1gPZIurkWnRguKUF,0.544,0.542,0,-8.624,1,0.0294,0.268,0.00197,0.114,0.339,90.472,spotify:track:3PY7bg1gPZIurkWnRguKUF,276187,4
104,I'm Waiting For The Man - Album Version (Stereo),"['The Velvet Underground', 'Nico']",spotify:track:0zggnUZPh8kg69Jm7w7zZs,0.68,0.632,7,-9.642,1,0.0469,0.027,0.868,0.146,0.863,125.894,spotify:track:0zggnUZPh8kg69Jm7w7zZs,279520,4
105,The Tracks Of My Tears - Single Version / Mono,['Smokey Robinson & The Miracles'],spotify:track:03uYIIUyvxk5kiCSltOTcZ,0.521,0.386,7,-7.72,1,0.0292,0.727,0.0,0.33,0.709,95.793,spotify:track:03uYIIUyvxk5kiCSltOTcZ,177733,4
106,Yesterday - Remastered,['The Beatles'],spotify:track:1e0hllQ23AG0QGFgezgLOq,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529,spotify:track:1e0hllQ23AG0QGFgezgLOq,125667,4
